Order_ID,Order_Date,Item_Type,Outlet_Tier,Outlet_Size,Outlet_Establishment_Year,Sales,Rating
6089,2022-12-07,Baking Goods,Tier 1,High,2010,56.7,4.2
6090,2020-06-11,Meat,Tier 1,Small,2016,1050.2,4.0
6091,2022-10-10,Soft Drinks,Tier 2,Small,2016,585.48,3.8
6092,2020-07-12,Breads,Tier 2,Medium,2012,1303.32,3.8
6093,2022-04-25,Meat,Tier 2,Medium,2010,1030.15,3.6
6094,2021-11-20,Baking Goods,Tier 2,Small,2010,91.27,3.8
6095,2019-09-17,Fruits and Vegetables,Tier 3,Medium,2018,1469.16,3.9
6096,2020-02-25,Meat,Tier 1,Medium,2014,587.0,4.6
6097,2019-10-31,Snack Foods,Tier 3,Medium,2016,557.46,4.0
6098,2021-07-30,Meat,Tier 1,Small,2012,112.26,4.5
6099,2021-11-28,Household,Tier 1,Medium,2010,1665.26,5.0
6100,2020-06-25,Soft Drinks,Tier 3,Small,2016,1178.74,4.4
6101,2022-07-25,Dairy,Tier 2,Small,2016,995.44,4.4
6102,2022-05-11,Meat,Tier 3,High,2016,1367.83,4.3
6103,2021-12-25,Seafood,Tier 3,High,2010,723.47,4.1
6104,2019-04-18,Snack Foods,Tier 3,High,2018,1160.48,3.8
6105,2019-09-25,Fruits and Vegetables,Tier 1,Small,2016,536.08,5.0
6106,2019-08-10,Meat,Tier 2,High,2010,172.76,4.2
6107,2022-01-18,Breads,Tier 1,Medium,2010,1144.62,4.9
6108,2020-11-23,Breads,Tier 3,High,2012,481.32,3.9
6109,2019-09-12,Snack Foods,Tier 3,Small,2018,1512.58,3.7
6110,2019-09-10,Household,Tier 1,Medium,2018,931.09,4.5
6111,2019-09-14,Frozen Foods,Tier 1,Medium,2018,538.28,4.8
6112,2020-01-18,Household,Tier 2,Medium,2010,1236.27,4.5
6113,2020-03-17,Snack Foods,Tier 3,High,2010,277.41,4.6
6114,2020-08-21,Household,Tier 1,High,2018,1534.78,4.4
6115,2022-01-18,Breads,Tier 1,High,2010,931.75,4.6
6116,2020-01-25,Soft Drinks,Tier 1,High,2018,1634.66,4.0
6117,2020-08-04,Frozen Foods,Tier 1,Medium,2012,319.29,4.1
6118,2021-12-03,Breads,Tier 3,Small,2014,795.96,4.7
6119,2020-08-20,Fruits and Vegetables,Tier 2,High,2014,401.06,4.7
6120,2019-01-19,Breads,Tier 1,Small,2014,169.33,3.6
6121,2022-01-29,Household,Tier 1,Medium,2014,1912.93,3.5
6122,2020-08-29,Soft Drinks,Tier 2,Small,2012,1466.96,4.5
6123,2022-10-12,Frozen Foods,Tier 3,Small,2010,684.93,3.6
6124,2019-02-02,Meat,Tier 1,High,2012,529.99,3.8
6125,2022-06-06,Frozen Foods,Tier 2,High,2016,448.43,3.8
6126,2021-05-11,Breads,Tier 2,Medium,2010,133.87,4.3
6127,2019-06-04,Meat,Tier 3,High,2018,250.21,3.8
6128,2022-12-17,Snack Foods,Tier 2,Small,2016,250.67,3.8
6129,2021-06-23,Baking Goods,Tier 3,Small,2016,1349.22,3.5
6130,2022-06-23,Breads,Tier 2,Small,2012,1209.68,4.6
6131,2020-02-09,Seafood,Tier 1,Small,2016,1157.98,3.7
6132,2021-04-23,Breads,Tier 3,High,2012,1482.2,4.4
6133,2022-03-30,Snack Foods,Tier 2,Medium,2016,539.79,3.9
6134,2021-01-16,Frozen Foods,Tier 1,High,2012,717.83,3.8
6135,2022-02-14,Fruits and Vegetables,Tier 2,Small,2010,297.07,4.0
6136,2019-09-28,Meat,Tier 1,Medium,2016,1196.04,3.9
6137,2021-02-08,Seafood,Tier 3,Medium,2012,1869.17,4.1
6138,2019-06-21,Baking Goods,Tier 1,Small,2014,1733.12,4.5
6139,2019-10-01,Snack Foods,Tier 2,Small,2014,1132.25,3.6
6140,2019-09-16,Baking Goods,Tier 1,High,2016,1306.99,3.8
6141,2022-03-04,Dairy,Tier 1,Medium,2012,1985.0,3.6
6142,2020-02-26,Seafood,Tier 3,Medium,2010,1058.84,5.0
6143,2022-12-15,Seafood,Tier 1,High,2016,1747.65,4.4
6144,2022-04-24,Dairy,Tier 1,Small,2010,1026.28,4.7
6145,2019-12-30,Seafood,Tier 2,Medium,2012,143.34,3.9
6146,2020-01-13,Breads,Tier 2,High,2014,1872.59,4.8
6147,2020-08-02,Dairy,Tier 3,Medium,2012,268.17,4.4
6148,2021-06-09,Frozen Foods,Tier 3,High,2010,1423.17,4.1
6149,2020-12-22,Dairy,Tier 3,Medium,2014,514.02,4.4
6150,2022-05-04,Frozen Foods,Tier 2,Small,2016,1807.02,3.7
6151,2021-05-30,Fruits and Vegetables,Tier 1,Small,2014,440.95,4.0
6152,2022-01-26,Household,Tier 3,Medium,2016,323.15,4.3
6153,2020-08-27,Seafood,Tier 2,Medium,2016,905.49,4.5
6154,2019-01-22,Meat,Tier 2,Medium,2014,1018.53,3.8
6155,2022-04-10,Meat,Tier 3,High,2014,1646.91,5.0
6156,2020-01-18,Household,Tier 2,Small,2010,1536.69,4.7
6157,2019-05-14,Soft Drinks,Tier 1,High,2014,690.12,4.4
6158,2022-12-20,Breads,Tier 2,Small,2018,800.65,5.0
6159,2021-11-14,Seafood,Tier 2,Small,2014,1174.51,4.3
6160,2020-05-17,Seafood,Tier 1,High,2010,1125.57,4.9
6161,2022-04-23,Household,Tier 3,Small,2018,1730.99,4.6
6162,2022-01-13,Frozen Foods,Tier 2,Small,2018,971.32,3.8
6163,2019-05-24,Breads,Tier 1,Medium,2012,1792.34,4.1
6164,2022-12-06,Snack Foods,Tier 3,High,2018,449.89,3.9
6165,2019-08-12,Meat,Tier 1,High,2016,1741.87,4.6
6166,2019-08-08,Snack Foods,Tier 2,Small,2010,643.37,4.6
6167,2019-06-28,Dairy,Tier 1,High,2012,1589.05,4.5
6168,2020-03-08,Frozen Foods,Tier 3,Small,2014,1152.51,4.3
6169,2019-09-22,Soft Drinks,Tier 3,Small,2018,1757.35,4.1
6170,2021-08-11,Snack Foods,Tier 3,High,2012,500.94,5.0
6171,2020-03-04,Meat,Tier 1,Small,2016,1417.92,3.5
6172,2020-02-20,Meat,Tier 1,Medium,2012,1705.47,3.7
6173,2020-12-27,Meat,Tier 3,High,2016,1564.55,4.4
6174,2019-07-16,Fruits and Vegetables,Tier 3,High,2012,1153.7,4.6
6175,2021-12-12,Seafood,Tier 3,Small,2012,1367.03,4.9
6176,2020-04-24,Snack Foods,Tier 2,High,2014,433.21,4.2
6177,2022-09-15,Dairy,Tier 2,High,2014,472.1,3.9
6178,2022-06-28,Snack Foods,Tier 2,Medium,2014,571.22,4.8
6179,2021-06-08,Dairy,Tier 3,Medium,2012,1664.63,4.2
6180,2021-07-13,Meat,Tier 2,High,2018,376.51,3.7
6181,2019-05-03,Breads,Tier 3,Small,2012,632.9,4.3
6182,2022-11-11,Dairy,Tier 1,Medium,2014,1844.85,4.3
6183,2022-09-24,Frozen Foods,Tier 3,Medium,2012,1522.71,3.8
6184,2021-02-16,Seafood,Tier 3,Medium,2018,1479.6,3.7
6185,2019-12-14,Seafood,Tier 2,Small,2016,937.53,3.7
6186,2019-01-29,Fruits and Vegetables,Tier 1,High,2010,1419.61,4.7
6187,2021-09-01,Baking Goods,Tier 1,High,2014,1153.17,4.3
6188,2019-02-04,Snack Foods,Tier 1,Medium,2012,189.36,4.6
6189,2022-11-20,Household,Tier 2,High,2018,1174.23,4.9
6190,2020-09-14,Fruits and Vegetables,Tier 2,Medium,2014,931.88,4.7
6191,2022-08-10,Household,Tier 2,Medium,2014,272.23,3.7
6192,2020-08-11,Baking Goods,Tier 2,Small,2016,721.32,4.1
6193,2022-10-04,Seafood,Tier 2,Small,2010,1794.85,4.2
6194,2022-03-16,Frozen Foods,Tier 3,Medium,2012,1617.22,4.6
6195,2021-12-26,Meat,Tier 1,Small,2012,1832.11,4.9
6196,2021-06-22,Meat,Tier 2,Small,2014,1448.31,3.9
6197,2020-06-03,Dairy,Tier 1,Small,2018,1283.48,4.8
6198,2019-05-02,Fruits and Vegetables,Tier 2,High,2014,321.51,3.6
6199,2019-12-06,Baking Goods,Tier 3,High,2016,259.06,4.8
6200,2019-06-24,Frozen Foods,Tier 1,Small,2010,531.17,4.5
6201,2020-08-19,Meat,Tier 2,High,2016,662.68,3.5
6202,2020-03-26,Dairy,Tier 3,Medium,2018,1233.72,4.4
6203,2020-07-10,Snack Foods,Tier 3,Medium,2012,1760.75,4.9
6204,2022-03-05,Seafood,Tier 1,Small,2018,1786.92,4.1
6205,2021-11-05,Snack Foods,Tier 2,Small,2016,1380.6,3.7
6206,2022-09-18,Seafood,Tier 3,High,2012,1169.13,5.0
6207,2022-05-03,Snack Foods,Tier 3,Small,2010,526.56,4.1
6208,2019-01-09,Dairy,Tier 3,Small,2014,1878.99,4.3
6209,2019-11-30,Frozen Foods,Tier 1,Medium,2010,1358.67,5.0
6210,2022-09-18,Fruits and Vegetables,Tier 1,Medium,2014,1090.24,4.4
6211,2021-10-13,Seafood,Tier 2,High,2010,252.71,4.5
6212,2019-11-23,Baking Goods,Tier 2,High,2012,1660.47,4.6
6213,2019-01-15,Household,Tier 1,High,2012,730.54,4.6
6214,2021-04-18,Frozen Foods,Tier 1,Small,2012,1806.14,4.7
6215,2019-08-14,Frozen Foods,Tier 1,Small,2014,378.41,3.6
6216,2022-12-19,Dairy,Tier 3,Small,2012,144.76,4.9
6217,2022-12-02,Household,Tier 1,Small,2018,897.72,4.3
6218,2019-04-23,Soft Drinks,Tier 2,Medium,2014,202.69,4.3
6219,2022-12-22,Frozen Foods,Tier 3,High,2012,170.52,4.8
6220,2019-01-01,Baking Goods,Tier 1,High,2012,1441.78,4.0
6221,2019-09-23,Frozen Foods,Tier 2,Medium,2010,551.88,4.5
6222,2022-05-16,Breads,Tier 1,Medium,2018,1295.76,4.0
6223,2021-08-09,Seafood,Tier 2,Small,2018,1163.12,4.6
6224,2022-10-24,Meat,Tier 3,High,2014,324.47,4.1
6225,2019-11-02,Frozen Foods,Tier 3,High,2018,802.27,3.8
6226,2019-01-12,Frozen Foods,Tier 2,Medium,2012,178.82,4.9
6227,2022-09-30,Dairy,Tier 2,High,2014,872.26,4.6
6228,2022-10-23,Baking Goods,Tier 3,Medium,2016,405.61,3.5
6229,2021-07-25,Dairy,Tier 3,High,2010,237.8,3.6
6230,2020-02-24,Fruits and Vegetables,Tier 2,Medium,2010,668.12,4.1
6231,2021-06-07,Seafood,Tier 2,Small,2016,56.67,4.7
6232,2019-06-20,Baking Goods,Tier 1,High,2014,1527.65,3.9
6233,2019-05-14,Dairy,Tier 1,Small,2016,358.46,5.0
6234,2021-08-22,Household,Tier 3,Medium,2018,1270.38,4.9
6235,2022-12-21,Household,Tier 3,High,2012,1673.54,4.8
6236,2021-11-14,Frozen Foods,Tier 1,High,2016,1838.61,3.5
6237,2022-04-28,Meat,Tier 1,Small,2016,1137.27,4.9
6238,2022-03-10,Dairy,Tier 3,Small,2018,1587.15,4.4
6239,2020-10-19,Fruits and Vegetables,Tier 3,Medium,2014,936.8,4.4
6240,2022-08-31,Dairy,Tier 2,Small,2012,1005.85,3.6
6241,2022-09-04,Dairy,Tier 2,High,2012,1116.21,4.4
6242,2022-01-20,Breads,Tier 3,High,2010,1356.77,4.3
6243,2019-06-28,Meat,Tier 1,High,2012,1356.34,4.3
6244,2021-12-15,Dairy,Tier 2,High,2012,1581.49,3.8
6245,2022-03-24,Snack Foods,Tier 3,Small,2012,1253.04,4.3
6246,2019-04-21,Snack Foods,Tier 1,Small,2012,1771.14,3.6
6247,2019-05-17,Frozen Foods,Tier 1,Medium,2018,1433.01,3.5
6248,2019-08-20,Fruits and Vegetables,Tier 3,Small,2010,1861.46,3.8
6249,2021-09-18,Meat,Tier 2,Medium,2016,1513.35,4.7
6250,2020-04-12,Fruits and Vegetables,Tier 2,Small,2010,1490.47,4.4
6251,2021-01-01,Household,Tier 3,Small,2014,1727.77,4.8
6252,2020-04-25,Baking Goods,Tier 1,High,2016,1328.83,4.1
6253,2021-12-27,Meat,Tier 2,Small,2010,400.17,4.0
6254,2021-03-24,Breads,Tier 3,Medium,2010,211.79,4.6
6255,2022-06-26,Meat,Tier 2,High,2010,665.86,4.1
6256,2021-09-20,Dairy,Tier 3,Small,2010,1638.07,4.1
6257,2019-11-19,Seafood,Tier 2,High,2010,92.33,4.2
6258,2021-07-10,Breads,Tier 2,High,2010,342.58,3.7
6259,2021-06-22,Frozen Foods,Tier 2,High,2018,256.93,3.8
6260,2022-12-26,Fruits and Vegetables,Tier 3,Medium,2018,122.49,4.4
6261,2020-08-28,Snack Foods,Tier 3,Medium,2016,1630.05,4.4
6262,2020-03-04,Breads,Tier 1,Small,2012,595.19,4.4
6263,2022-07-16,Frozen Foods,Tier 2,High,2010,1471.41,3.8
6264,2019-05-28,Household,Tier 2,Small,2012,326.73,4.2
6265,2022-02-15,Meat,Tier 3,Medium,2018,847.42,4.9
6266,2021-04-29,Meat,Tier 2,High,2014,277.11,4.8
6267,2020-01-02,Snack Foods,Tier 3,Medium,2010,54.84,4.3
6268,2021-04-29,Seafood,Tier 1,High,2016,1245.67,4.9
6269,2021-12-25,Fruits and Vegetables,Tier 2,High,2012,987.91,4.5
6270,2021-03-23,Baking Goods,Tier 3,High,2016,862.44,4.1
6271,2022-10-25,Meat,Tier 3,Small,2010,203.39,4.7
6272,2019-06-24,Baking Goods,Tier 2,Medium,2012,1197.0,4.0
6273,2020-08-10,Fruits and Vegetables,Tier 1,Medium,2012,1571.0,4.8
6274,2020-05-09,Household,Tier 3,Medium,2010,181.13,4.0
6275,2021-08-30,Household,Tier 2,High,2014,856.24,4.7
6276,2022-02-11,Baking Goods,Tier 1,Small,2010,657.54,3.9
6277,2022-02-08,Snack Foods,Tier 3,Small,2016,1789.16,4.9
6278,2022-03-16,Baking Goods,Tier 1,Small,2018,562.18,3.8
6279,2019-02-04,Dairy,Tier 3,Small,2018,1891.35,4.6
6280,2021-09-25,Frozen Foods,Tier 2,High,2018,1665.38,4.1
6281,2022-08-25,Breads,Tier 2,High,2012,245.31,3.5
6282,2020-06-21,Snack Foods,Tier 2,Small,2012,987.24,4.0
6283,2021-01-19,Frozen Foods,Tier 1,Small,2010,1315.55,3.8
6284,2021-11-03,Meat,Tier 1,Medium,2012,1206.49,4.3
6285,2020-01-09,Fruits and Vegetables,Tier 2,High,2016,1374.5,3.9
6286,2020-07-10,Household,Tier 3,Small,2010,881.3,3.6
6287,2022-12-22,Fruits and Vegetables,Tier 1,High,2016,1814.25,4.9
6288,2019-08-21,Snack Foods,Tier 1,Medium,2018,577.2,4.8
6289,2020-12-05,Soft Drinks,Tier 3,Small,2016,233.5,3.6
6290,2020-07-16,Baking Goods,Tier 3,High,2018,1957.05,3.9
6291,2021-07-27,Dairy,Tier 2,High,2012,1321.32,4.4
6292,2021-06-05,Frozen Foods,Tier 1,High,2010,1335.44,4.0
6293,2020-12-26,Frozen Foods,Tier 3,High,2014,1644.18,3.9
6294,2022-07-22,Seafood,Tier 3,High,2016,871.81,4.4
6295,2019-03-17,Household,Tier 2,High,2010,803.16,3.8
6296,2020-03-14,Frozen Foods,Tier 2,Medium,2014,1900.83,4.5
6297,2020-11-29,Snack Foods,Tier 1,High,2010,804.22,3.6
6298,2022-08-05,Breads,Tier 3,Medium,2014,203.03,4.0
6299,2021-07-03,Soft Drinks,Tier 2,Medium,2010,650.27,3.7
6300,2021-06-09,Frozen Foods,Tier 1,High,2018,1753.41,3.9
6301,2020-11-22,Breads,Tier 2,Small,2014,235.17,4.5
6302,2019-09-10,Frozen Foods,Tier 1,High,2010,1447.58,4.6
6303,2022-02-23,Snack Foods,Tier 3,Medium,2014,569.48,3.7
6304,2022-04-15,Breads,Tier 2,High,2018,1504.25,4.6
6305,2021-11-26,Meat,Tier 1,High,2014,1053.38,3.6
6306,2020-02-14,Frozen Foods,Tier 1,High,2014,1291.32,3.8
6307,2019-05-07,Meat,Tier 3,Medium,2010,524.23,4.3
6308,2022-04-06,Seafood,Tier 2,Medium,2016,377.83,5.0
6309,2020-08-14,Household,Tier 1,Medium,2018,173.45,5.0
6310,2019-10-21,Snack Foods,Tier 1,Small,2010,1659.87,4.2
6311,2022-09-28,Dairy,Tier 1,Small,2012,1435.44,4.7
6312,2021-10-16,Snack Foods,Tier 1,Small,2014,622.04,4.3
6313,2019-11-06,Baking Goods,Tier 2,Small,2012,1681.98,4.6
6314,2020-10-23,Dairy,Tier 2,High,2010,1675.71,4.5
6315,2020-06-11,Baking Goods,Tier 1,Small,2016,318.63,4.5
6316,2020-06-23,Breads,Tier 2,Small,2018,1441.69,4.2
6317,2020-02-23,Seafood,Tier 2,Small,2010,619.95,4.7
6318,2020-03-19,Breads,Tier 3,High,2016,961.02,4.2
6319,2020-11-15,Frozen Foods,Tier 3,Small,2010,888.78,4.6
6320,2021-04-19,Household,Tier 1,Small,2016,1220.36,4.8
6321,2019-08-24,Snack Foods,Tier 3,Small,2012,726.91,4.5
6322,2019-08-02,Fruits and Vegetables,Tier 2,Medium,2016,192.85,4.3
6323,2019-03-26,Snack Foods,Tier 1,Small,2018,1361.67,4.3
6324,2021-03-04,Snack Foods,Tier 3,Small,2012,1923.11,4.6
6325,2019-03-26,Dairy,Tier 1,Small,2014,1352.34,3.6
6326,2019-03-06,Soft Drinks,Tier 1,High,2012,1102.23,4.5
6327,2020-10-24,Fruits and Vegetables,Tier 3,Small,2012,369.06,4.1
6328,2020-09-18,Frozen Foods,Tier 2,Small,2014,1269.1,3.7
6329,2019-03-05,Baking Goods,Tier 2,Medium,2012,1241.62,4.9
6330,2022-09-28,Meat,Tier 3,Medium,2012,1256.57,4.2
6331,2021-07-27,Baking Goods,Tier 3,High,2014,1790.01,4.2
6332,2021-07-07,Household,Tier 3,High,2014,1446.82,4.3
6333,2022-10-07,Seafood,Tier 3,Small,2018,1577.63,4.4
6334,2022-03-27,Household,Tier 1,Medium,2012,661.01,3.8
6335,2020-05-05,Seafood,Tier 2,High,2012,577.23,4.4
6336,2022-06-02,Snack Foods,Tier 2,High,2012,453.22,4.0
6337,2019-11-09,Dairy,Tier 3,Medium,2018,1567.82,4.6
6338,2020-09-06,Frozen Foods,Tier 2,Small,2012,1412.25,4.7
6339,2021-07-07,Soft Drinks,Tier 2,Medium,2014,717.08,3.5
6340,2021-03-23,Household,Tier 2,Small,2014,325.16,4.6
6341,2021-07-28,Dairy,Tier 3,Small,2014,1701.0,4.0
6342,2022-01-16,Baking Goods,Tier 3,Medium,2014,799.34,4.0
6343,2022-08-19,Soft Drinks,Tier 2,Small,2016,420.01,4.1
6344,2020-11-10,Breads,Tier 3,High,2014,331.6,4.4
6345,2020-03-10,Snack Foods,Tier 2,Medium,2018,1843.38,3.7
6346,2020-11-12,Fruits and Vegetables,Tier 3,High,2016,303.82,4.5
6347,2022-03-04,Fruits and Vegetables,Tier 2,Small,2012,751.36,4.2
6348,2021-12-09,Meat,Tier 3,Small,2014,1282.77,3.7
6349,2022-12-26,Snack Foods,Tier 2,Medium,2012,845.75,4.3
6350,2019-12-06,Meat,Tier 3,Medium,2014,981.05,4.4
6351,2019-12-13,Fruits and Vegetables,Tier 3,Small,2014,1615.11,4.0
6352,2020-10-07,Frozen Foods,Tier 2,Medium,2016,1998.51,4.8
6353,2022-10-02,Baking Goods,Tier 1,Small,2014,961.07,4.5
6354,2020-10-10,Frozen Foods,Tier 2,High,2014,788.71,4.5
6355,2019-09-02,Dairy,Tier 2,Medium,2010,843.19,3.6
6356,2019-04-19,Baking Goods,Tier 1,High,2018,769.76,4.3
6357,2020-06-16,Fruits and Vegetables,Tier 3,Medium,2018,973.85,4.8
6358,2022-01-18,Meat,Tier 1,High,2012,699.56,4.5
6359,2019-10-23,Snack Foods,Tier 2,Small,2012,952.1,3.8
6360,2019-04-22,Snack Foods,Tier 1,Small,2016,1893.64,4.8
6361,2022-04-15,Seafood,Tier 3,Small,2012,608.12,4.1
6362,2019-12-09,Soft Drinks,Tier 2,Small,2010,1321.16,4.9
6363,2019-04-11,Breads,Tier 2,Medium,2012,999.52,4.3
6364,2020-09-20,Fruits and Vegetables,Tier 3,High,2014,1478.17,4.7
6365,2022-11-25,Fruits and Vegetables,Tier 3,Medium,2012,970.97,4.4
6366,2019-01-28,Meat,Tier 2,Medium,2012,363.06,3.9
6367,2021-07-25,Seafood,Tier 3,Small,2014,1751.22,4.5
6368,2019-02-27,Household,Tier 1,Medium,2010,1367.75,3.5
6369,2019-10-24,Soft Drinks,Tier 1,High,2018,1075.45,4.8
6370,2019-05-14,Frozen Foods,Tier 1,Medium,2010,1670.61,4.9
6371,2022-09-16,Frozen Foods,Tier 1,High,2010,1953.56,3.8
6372,2019-09-06,Household,Tier 3,Small,2016,848.33,4.8
6373,2021-10-17,Seafood,Tier 1,Small,2016,738.47,3.8
6374,2020-07-03,Soft Drinks,Tier 1,Medium,2014,1519.5,4.2
6375,2021-06-20,Fruits and Vegetables,Tier 2,High,2016,936.48,3.9
6376,2022-01-03,Snack Foods,Tier 3,Small,2018,217.25,3.8
6377,2021-04-13,Fruits and Vegetables,Tier 3,Small,2014,741.11,4.6
6378,2022-04-06,Frozen Foods,Tier 3,Medium,2016,1626.83,4.7
6379,2021-02-09,Baking Goods,Tier 2,High,2012,1428.05,4.8
6380,2022-10-10,Meat,Tier 2,Small,2016,1732.55,3.5
6381,2022-06-02,Meat,Tier 3,Small,2018,335.92,4.8
6382,2019-05-26,Breads,Tier 1,High,2016,525.65,3.6
6383,2022-06-18,Dairy,Tier 2,Medium,2014,468.73,4.2
6384,2021-06-11,Frozen Foods,Tier 2,Medium,2012,1944.1,3.8
6385,2019-12-10,Seafood,Tier 2,Small,2014,379.4,4.9
6386,2021-11-24,Meat,Tier 3,Small,2012,1215.96,4.4
6387,2020-12-02,Baking Goods,Tier 1,Medium,2012,1284.18,4.2
6388,2019-01-01,Fruits and Vegetables,Tier 2,Medium,2018,1256.84,4.2
6389,2019-06-02,Breads,Tier 2,Small,2010,1398.74,4.1
6390,2020-03-04,Snack Foods,Tier 3,High,2018,993.65,4.2
6391,2020-05-22,Frozen Foods,Tier 1,High,2010,213.19,4.3
6392,2022-02-23,Dairy,Tier 2,Small,2010,1417.41,4.7
6393,2020-05-05,Seafood,Tier 3,Small,2018,598.15,3.9
6394,2019-12-11,Breads,Tier 3,Small,2016,197.95,4.7
6395,2019-08-09,Snack Foods,Tier 2,Small,2018,381.08,4.7
6396,2020-12-23,Dairy,Tier 3,Medium,2014,610.08,4.8
6397,2021-11-14,Dairy,Tier 3,High,2014,893.26,4.9
6398,2020-06-11,Breads,Tier 2,High,2014,1729.58,4.9
6399,2022-04-20,Fruits and Vegetables,Tier 3,High,2014,1096.18,3.7
6400,2021-04-20,Seafood,Tier 1,Medium,2010,970.34,4.8
6401,2021-12-01,Household,Tier 1,Small,2010,422.95,4.8
6402,2020-04-25,Dairy,Tier 2,High,2018,1920.56,4.1
6403,2021-07-18,Meat,Tier 1,High,2012,1821.61,4.5
6404,2021-05-21,Household,Tier 1,Medium,2012,1641.35,4.9
6405,2022-11-26,Baking Goods,Tier 2,Small,2010,680.14,3.6
6406,2019-12-11,Breads,Tier 3,Small,2016,1145.17,4.0
6407,2019-02-14,Dairy,Tier 1,Small,2010,808.25,5.0
6408,2019-01-21,Meat,Tier 3,High,2016,835.68,4.3
6409,2021-12-29,Baking Goods,Tier 2,Medium,2012,190.66,3.6
6410,2021-05-22,Household,Tier 1,High,2010,323.09,4.9
6411,2019-02-17,Snack Foods,Tier 2,Medium,2018,1924.28,4.9
6412,2020-07-04,Frozen Foods,Tier 3,Medium,2014,1239.66,4.7
6413,2019-10-14,Household,Tier 2,High,2012,62.3,4.7
6414,2021-09-28,Frozen Foods,Tier 1,Medium,2010,1627.91,4.2
6415,2021-10-30,Meat,Tier 2,Medium,2010,219.73,4.8
6416,2020-06-25,Dairy,Tier 2,Medium,2014,1430.9,4.0
6417,2021-01-25,Frozen Foods,Tier 2,Small,2012,1260.66,4.0
6418,2019-10-01,Breads,Tier 3,Small,2018,172.75,3.8
6419,2021-08-13,Meat,Tier 3,Small,2018,1085.33,4.1
6420,2020-08-22,Dairy,Tier 3,Small,2018,142.5,3.9
6421,2020-01-16,Meat,Tier 3,High,2012,175.56,4.0
6422,2022-09-14,Household,Tier 1,High,2018,149.8,4.5
6423,2020-04-23,Meat,Tier 3,High,2016,548.11,4.1
6424,2019-01-15,Household,Tier 3,Small,2010,1613.45,4.7
6425,2020-05-30,Breads,Tier 1,High,2016,756.79,4.2
6426,2019-07-10,Seafood,Tier 3,Small,2012,1297.1,3.7
6427,2022-04-06,Breads,Tier 2,Small,2018,293.46,4.6
6428,2020-09-12,Baking Goods,Tier 3,Medium,2018,1869.09,3.6
6429,2022-03-06,Household,Tier 1,Medium,2018,1033.27,4.9
6430,2019-06-03,Dairy,Tier 2,Small,2014,97.96,4.8
6431,2022-11-12,Soft Drinks,Tier 1,Medium,2014,1097.94,4.9
6432,2022-05-17,Seafood,Tier 2,Medium,2018,409.83,3.9
6433,2019-09-29,Breads,Tier 2,Medium,2010,431.84,4.2
6434,2019-05-23,Soft Drinks,Tier 2,Medium,2014,1220.73,3.8
6435,2021-12-28,Snack Foods,Tier 1,High,2012,491.45,4.1
6436,2019-09-04,Soft Drinks,Tier 2,Medium,2018,467.26,3.9
6437,2022-07-08,Baking Goods,Tier 2,Small,2010,1104.87,4.8
6438,2021-02-26,Baking Goods,Tier 2,Medium,2014,509.15,3.7
6439,2019-03-20,Breads,Tier 2,Medium,2012,265.5,3.8
6440,2020-09-14,Soft Drinks,Tier 2,High,2014,846.1,3.9
6441,2020-06-08,Frozen Foods,Tier 3,High,2012,151.4,4.6
6442,2021-02-10,Dairy,Tier 1,High,2018,1815.38,4.4
6443,2021-07-26,Snack Foods,Tier 2,Medium,2010,930.5,3.7
6444,2022-09-15,Household,Tier 2,Small,2016,75.53,4.4
6445,2022-04-27,Fruits and Vegetables,Tier 2,High,2014,488.07,4.8
6446,2022-01-23,Frozen Foods,Tier 2,Medium,2010,1917.74,4.2
6447,2020-09-08,Snack Foods,Tier 2,Medium,2016,1017.96,4.4
6448,2021-10-28,Snack Foods,Tier 3,Medium,2018,749.83,4.3
6449,2019-03-08,Fruits and Vegetables,Tier 3,High,2012,664.47,4.0
6450,2019-07-10,Baking Goods,Tier 2,Medium,2018,863.09,3.5
6451,2022-10-21,Snack Foods,Tier 2,High,2010,462.94,3.8
6452,2021-02-06,Frozen Foods,Tier 2,Medium,2010,1510.8,4.9
6453,2020-06-04,Breads,Tier 1,Small,2014,1041.2,4.0
6454,2021-09-16,Meat,Tier 1,Small,2016,1515.3,3.9
6455,2022-02-14,Meat,Tier 3,Medium,2016,546.04,4.4
6456,2019-09-24,Meat,Tier 3,High,2014,52.83,4.9
6457,2020-04-29,Frozen Foods,Tier 1,Medium,2018,1934.15,4.0
6458,2022-08-14,Dairy,Tier 2,Small,2016,1048.53,3.8
6459,2022-04-02,Household,Tier 3,Medium,2018,205.49,4.9
6460,2020-01-11,Fruits and Vegetables,Tier 2,High,2012,252.31,4.7
6461,2020-10-14,Seafood,Tier 2,High,2010,897.62,4.6
6462,2022-07-15,Baking Goods,Tier 3,High,2012,1405.77,4.3
6463,2020-07-02,Meat,Tier 1,High,2014,823.45,4.1
6464,2022-01-02,Soft Drinks,Tier 1,Small,2016,1649.3,4.5
6465,2019-03-14,Baking Goods,Tier 1,High,2012,691.67,3.8
6466,2019-11-04,Frozen Foods,Tier 2,High,2010,138.93,4.7
6467,2019-07-18,Dairy,Tier 2,Small,2016,66.17,4.1
6468,2022-02-27,Dairy,Tier 2,High,2018,1725.92,4.6
6469,2020-07-25,Meat,Tier 1,Small,2016,1969.7,4.7
